post_id,username,caption,hashtags,mentions,likes,comment_count,clean_caption
3828002375316241081_2091666763,indiancricketteam,"Making every opportunity count with character and grit 💪

🎥 And the 𝐈𝐦𝐩𝐚𝐜𝐭 𝐏𝐥𝐚𝐲𝐞𝐫 𝐨𝐟 𝐭𝐡𝐞 𝐌𝐚𝐭𝐜𝐡 goes to 🥁......

#TeamIndia | #MenInBlue | #T20WorldCup | #INDvUSA","#TeamIndia, #MenInBlue, #T20WorldCup, #INDvUSA",,842933,0,make everi opportun count charact grit 𝐈𝐦𝐩𝐚𝐜𝐭 𝐏𝐥𝐚𝐲𝐞𝐫 𝐨𝐟 𝐭𝐡𝐞 𝐌𝐚𝐭𝐜𝐡 goe teamindia meninblu tworldcup indvusa
3827921014836404297_2091666763,indiancricketteam,"In 2023, it was the Fielding Medal 🥇
In 2026, we’re turning up the volume 🗣️

Say hello to 𝗧𝗵𝗲 𝗦𝗽𝗲𝗲𝗰𝗵
Every match, one player 👤
One mic 🎙️ 
No filters, no scripts.

Just RAW dressing room vibes 👌🏻

Episode 1 ft. Rinku Singh 🔥

#TeamIndia | #T20WorldCup | #MenInBlue | #INDvUSA | @rinkukumar12","#TeamIndia, #T20WorldCup, #MenInBlue, #INDvUSA",@rinkukumar12,672477,0,field medal turn volum say hello 𝗧𝗵𝗲 𝗦𝗽𝗲𝗲𝗰𝗵 everi match one player one mic filter script raw dress room vibe episod ft rinku singh teamindia tworldcup meninblu indvusa
3827845013712345886_2091666763,indiancricketteam,"𝗥𝗶𝘀𝗶𝗻𝗴 𝘁𝗼 𝘁𝗵𝗲 𝗼𝗰𝗰𝗮𝘀𝗶𝗼𝗻, the Surya Kumar Yadav way 🫡

🎥 Hear from our captain himself after his Wankhede masterclass 🙌🇮🇳

#TeamIndia | #MenInBlue | #T20WorldCup | #INDvUSA | @surya_14kumar","#TeamIndia, #MenInBlue, #T20WorldCup, #INDvUSA",@surya_14kumar,794121,0,𝗥𝗶𝘀𝗶𝗻𝗴 𝘁𝗼 𝘁𝗵𝗲 𝗼𝗰𝗰𝗮𝘀𝗶𝗼𝗻 surya kumar yadav way hear captain wankhed masterclass teamindia meninblu tworldcup indvusa
3827824218402755391_2091666763,indiancricketteam,"The smile of a World Cup-winning captain 😊🏆

Celebrations continue for Ayush Mhatre 👌

#U19WorldCup",#U19WorldCup,,1154067,0,smile world cupwin captain celebr continu ayush mhatr uworldcup
3827773740583911619_376525195,icc,"An uncharted view of the #T20WorldCup from Rohit Sharma as he watches from the sidelines for the first time 🥹

Find out how you can watch via the link in our bio 📲",#T20WorldCup,,2675338,0,unchart view tworldcup rohit sharma watch sidelin first time find watch via link bio
3827747288501184594_2091666763,indiancricketteam,"When the captain calls, you answer 👌

🎥 From comeback to World Cup impact, ft. Mohd. Siraj 😎 

#TeamIndia | #MenInBlue | #T20WorldCup | #INDvUSA | @mohammedsirajofficial","#TeamIndia, #MenInBlue, #T20WorldCup, #INDvUSA",@mohammedsirajofficial,2442406,0,captain call answer comeback world cup impact ft mohd siraj teamindia meninblu tworldcup indvusa
3827433518691881452_2091666763,indiancricketteam,"Painting the ground with his masterful shot-making 🎨👏

One word for Captain Surya Kumar Yadav's match-winning knock? 👇

#TeamIndia | #MenInBlue | #T20WorldCup | #INDvUSA","#TeamIndia, #MenInBlue, #T20WorldCup, #INDvUSA",,143342,0,paint ground master shotmak one word captain surya kumar yadav matchwin knock teamindia meninblu tworldcup indvusa
3827430289933428701_2091666763,indiancricketteam,"A captain’s knock to start the campaign 🫡

For his match-winning 84* (49), Surya Kumar Yadav is the Player of the Match as #TeamIndia begin the #T20WorldCup with a win! 👏

#MenInBlue | #INDvUSA","#TeamIndia, #T20WorldCup, #MenInBlue, #INDvUSA",,278152,0,captain knock start campaign matchwin surya kumar yadav player match teamindia begin tworldcup win meninblu indvusa
3827428604007789663_2091666763,indiancricketteam,"A comprehensive victory ✌️

#TeamIndia are off the mark in the #T20WorldCup in fine fashion 👌👌

They win the #INDvUSA contest by 2⃣9⃣ runs 🙌

#MenInBlue","#TeamIndia, #T20WorldCup, #INDvUSA, #MenInBlue",,391350,0,comprehens victori teamindia mark tworldcup fine fashion win indvusa contest run meninblu
3827426905717605199_376525195,icc,"Mohammed Siraj wraps it up in Mumbai as India begin their quest to defend the #T20WorldCup title with a win 👊

Tournament broadcast details in our bio 📺",#T20WorldCup,,658128,0,moham siraj wrap mumbai india begin quest defend tworldcup titl win tournament broadcast detail bio
3827419769864015347_2091666763,indiancricketteam,"#TeamIndia continue to chip away at the wickets 🥳

Arshdeep Singh with his 2⃣nd wicket 😎

Tilak Varma with the catch 👏

#MenInBlue | #T20WorldCup | #INDvUSA","#TeamIndia, #MenInBlue, #T20WorldCup, #INDvUSA",,159763,0,teamindia continu chip away wicket arshdeep singh nd wicket tilak varma catch meninblu tworldcup indvusa
3827414274562431057_2091666763,indiancricketteam,"2️⃣ in 2️⃣ for Axar Patel ✌️

#TeamIndia in control as we head into the final phase!

#MenInBlue | #T20WorldCup | #INDvUSA","#TeamIndia, #MenInBlue, #T20WorldCup, #INDvUSA",,197912,0,axar patel teamindia control head final phase meninblu tworldcup indvusa
3827404635674336850_2091666763,indiancricketteam,"There's another breakthrough ☝️

🔝 work by Ishan Kishan behind the stumps as Varun Chakaravarthy strikes 🕸️

Wicket No. 4⃣ 👏

#TeamIndia | #MenInBlue | #T20WorldCup | #INDvUSA","#TeamIndia, #MenInBlue, #T20WorldCup, #INDvUSA",,175115,0,there anoth breakthrough work ishan kishan behind stump varun chakaravarthi strike wicket teamindia meninblu tworldcup indvusa
3827391828803213350_376525195,icc,"Arshdeep Singh gave India an early breakthrough to dismiss USA skipper Monank Patel 👊

#T20WorldCup broadcast details in our bio 📺",#T20WorldCup,,209768,0,arshdeep singh gave india earli breakthrough dismiss usa skipper monank patel tworldcup broadcast detail bio
3827388979922920451_376525195,icc,"Rohit Sharma. Wankhede. #T20WorldCup Trophy in hand. Fans roaring. Iconic ❤️

Don’t miss any action from the tournament. Broadcast details in bio 🔗",#T20WorldCup,,2217703,0,rohit sharma wankhed tworldcup trophi hand fan roar icon dont miss action tournament broadcast detail bio
3827389515141316940_2091666763,indiancricketteam,"A successful powerplay 🙌

#TeamIndia pick 3⃣ wickets 👏

#MenInBlue | #T20WorldCup | #INDvUSA","#TeamIndia, #MenInBlue, #T20WorldCup, #INDvUSA",,273767,0,success powerplay teamindia pick wicket meninblu tworldcup indvusa
3827381664376993793_2091666763,indiancricketteam,"Up and running with the ball 👊

Mohd. Siraj and Arshdeep Singh strike early to give #TeamIndia a perfect start!

#MenInBlue | #T20WorldCup | #INDvUSA","#TeamIndia, #MenInBlue, #T20WorldCup, #INDvUSA",,197363,0,run ball mohd siraj arshdeep singh strike earli give teamindia perfect start meninblu tworldcup indvusa
